dataset,publication,publishedDate,source,affiliation,subjects,openAlexTopics,openAlexSubfields,openAlexFields,openAlexDomains
https://doi.org/10.6084/m9.figshare.15109623.v1,https://doi.org/10.1364/oe.432432,2021-08-13T00:00:00Z,datacite,Fudan University,NA,Terahertz technology and applications; Calibration and Measurement Techniques; Soil Moisture and Remote Sensing,Electrical and Electronic Engineering; Aerospace Engineering; Environmental Engineering,Engineering; Environmental Science,Physical Sciences
GSE112393,https://doi.org/10.3389/fendo.2020.630948,2021-02-19T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Epigenetics and DNA Methylation; Stress Responses and Cortisol; Neuroendocrine regulation and behavior,Molecular Biology; Behavioral Neuroscience; Social Psychology,"Biochemistry, Genetics and Molecular Biology; Neuroscience; Psychology",Life Sciences; Social Sciences
https://doi.org/10.6084/m9.figshare.21571348.v1,https://doi.org/10.1080/15592294.2022.2145068,2022-11-16T00:00:00Z,datacite,Fudan University,NA,Epigenetics and DNA Methylation; Fibroblast Growth Factor Research; RNA modifications and cancer,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE42861,https://doi.org/10.1038/s41598-017-05421-x,2017-07-14T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,Cytokine Signaling Pathways and Interactions; Immunodeficiency and Autoimmune Disorders; Immune Cell Function and Interaction,Oncology; Immunology,Medicine; Immunology and Microbiology,Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.16545392.v1,https://doi.org/10.1080/15592294.2021.1950990,2021-08-30T00:00:00Z,datacite,University of Oxford,NA,Epigenetics and DNA Methylation; Genetics and Neurodevelopmental Disorders; Cancer-related gene regulation,Molecular Biology; Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.6084/m9.figshare.14718013.v1,https://doi.org/10.1080/21655979.2021.1924544,2021-06-02T00:00:00Z,datacite,Fudan University,NA,RNA modifications and cancer; Cancer-related molecular mechanisms research; MicroRNA in disease regulation,Molecular Biology; Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.7kk71d0,https://doi.org/10.1371/journal.pone.0213910,2019-04-03T00:00:00Z,datacite,University of Oxford,NA,Wildlife Ecology and Conservation; Primate Behavior and Ecology; Bat Biology and Ecology Studies,"Ecology; Social Psychology; Ecology, Evolution, Behavior and Systematics",Environmental Science; Psychology; Agricultural and Biological Sciences,Physical Sciences; Social Sciences; Life Sciences
GSE130294,https://doi.org/10.1126/sciadv.aaz7628,2020-10-02T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,"Genetics, Aging, and Longevity in Model Organisms; Genomics, phytochemicals, and oxidative stress; Plant Stress Responses and Tolerance",Aging; Molecular Biology; Plant Science,"Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences",Life Sciences
GSM2889849,https://doi.org/10.1080/0886022X.2023.2202264,2023-04-25T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Renal Diseases and Glomerulopathies; Ferroptosis and cancer prognosis; Chronic Kidney Disease and Diabetes,Nephrology; Pulmonary and Respiratory Medicine,Medicine,Health Sciences
https://doi.org/10.5287/bodleian:6qmxaR7db,https://doi.org/10.1073/pnas.2025760118,2021-05-03T00:00:00Z,eupmc,University of Oxford,NA,Legume Nitrogen Fixing Symbiosis; Agronomic Practices and Intercropping Systems; Plant Parasitism and Resistance,Plant Science; Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences
https://doi.org/10.5061/dryad.qp6pt2p,https://doi.org/10.1098/rsbl.2018.0485,2018-11-28T00:00:00Z,datacite,University of Oxford,NA,Circadian rhythm and melatonin; Bat Biology and Ecology Studies; Neurobiology and Insect Physiology Research,"Endocrine and Autonomic Systems; Ecology, Evolution, Behavior and Systematics; Cellular and Molecular Neuroscience",Neuroscience; Agricultural and Biological Sciences,Life Sciences
https://doi.org/10.5061/dryad.6hdr7sr2k,https://doi.org/10.1177/09567976221082938,2022-07-25T00:00:00Z,eupmc,University of Michigan,NA,Primate Behavior and Ecology; Memory and Neural Mechanisms; Child and Animal Learning Development,Social Psychology; Cognitive Neuroscience; Developmental and Educational Psychology,Psychology; Neuroscience,Social Sciences; Life Sciences
https://doi.org/10.3886/icpsr31142,https://doi.org/10.1093/socpro/spw003,2016-04-10T00:00:00Z,datacite,University of Michigan,NA,Criminal Justice and Corrections Analysis; Crime Patterns and Interventions; Policing Practices and Perceptions,Sociology and Political Science; Political Science and International Relations,Social Sciences,Social Sciences
https://doi.org/10.3886/icpsr31142,https://doi.org/10.1093/socpro/spw003,2016-04-10T00:00:00Z,datacite,University of Michigan,NA,Criminal Justice and Corrections Analysis; Crime Patterns and Interventions; Policing Practices and Perceptions,Sociology and Political Science; Political Science and International Relations,Social Sciences,Social Sciences
https://doi.org/10.3886/icpsr31142,https://doi.org/10.1093/socpro/spw003,2016-04-10T00:00:00Z,datacite,University of Michigan,NA,Criminal Justice and Corrections Analysis; Crime Patterns and Interventions; Policing Practices and Perceptions,Sociology and Political Science; Political Science and International Relations,Social Sciences,Social Sciences
GSE49710,https://doi.org/10.3389/fmolb.2021.769661,2021-12-07T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,"Neuroblastoma Research and Treatments; Cancer, Hypoxia, and Metabolism; Ubiquitin and proteasome pathways",Neurology; Cancer Research; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.3886/icpsr36380,https://doi.org/10.3390/ijerph17124330,2020-06-17T00:00:00Z,datacite,University of Michigan,NA,"Migration, Health and Trauma; Racial and Ethnic Identity Research; Terrorism, Counterterrorism, and Political Violence",Clinical Psychology; Sociology and Political Science,Psychology; Social Sciences,Social Sciences
https://doi.org/10.3886/icpsr36380,https://doi.org/10.3390/ijerph17124330,2020-06-17T00:00:00Z,datacite,University of Michigan,NA,"Migration, Health and Trauma; Racial and Ethnic Identity Research; Terrorism, Counterterrorism, and Political Violence",Clinical Psychology; Sociology and Political Science,Psychology; Social Sciences,Social Sciences
GSE24080,https://doi.org/10.1038/bcj.2016.118,2016-12-16T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Multiple Myeloma Research and Treatments; Chemokine receptors and signaling; vaccines and immunoinformatics approaches,Hematology; Oncology; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
GSE5350,https://doi.org/10.3389/fgene.2021.665888,2021-06-03T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Single-cell and spatial transcriptomics; RNA Research and Splicing; Cancer Genomics and Diagnostics,Molecular Biology; Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE38718,https://doi.org/10.18632/oncotarget.3949,2015-04-29T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,"Telomeres, Telomerase, and Senescence; Genetics, Aging, and Longevity in Model Organisms; DNA Repair Mechanisms",Physiology; Aging; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.19361753.v1,https://doi.org/10.1080/15476286.2022.2043650,2022-03-15T00:00:00Z,datacite,Fudan University,NA,Genetic Neurodegenerative Diseases; Mitochondrial Function and Pathology; Genetics and Neurodevelopmental Disorders,Cellular and Molecular Neuroscience; Molecular Biology; Genetics,"Neuroscience; Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.6084/m9.figshare.21062337,https://doi.org/10.1186/s13059-022-02752-5,2022-09-07T00:00:00Z,datacite,Fudan University,NA,Genetic Neurodegenerative Diseases; Mitochondrial Function and Pathology; Muscle Physiology and Disorders,Cellular and Molecular Neuroscience; Molecular Biology,"Neuroscience; Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE49710,https://doi.org/10.1038/s41467-018-07580-5,2018-12-14T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Neuroblastoma Research and Treatments; RNA Research and Splicing; RNA modifications and cancer,Neurology; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
GSE33744,https://doi.org/10.1186/s12967-021-03000-3,2021-07-31T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Extracellular vesicles in disease; Cardiovascular Disease and Adiposity; Ferroptosis and cancer prognosis,Molecular Biology; Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.5061/dryad.p14jc,https://doi.org/10.1098/rspb.2015.1111,2015-07-22T00:00:00Z,datacite,University of Oxford,NA,Plant and animal studies; Insect and Arachnid Ecology and Behavior; Insect-Plant Interactions and Control,"Ecology, Evolution, Behavior and Systematics; Genetics; Insect Science","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE16716,https://doi.org/10.3390/cancers12102823,2020-09-30T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,Epigenetics and DNA Methylation; Cancer Cells and Metastasis; Cancer Genomics and Diagnostics,Molecular Biology; Oncology; Cancer Research,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.6084/m9.figshare.17099477,https://doi.org/10.1080/14760584.2022.2008243,2021-12-13T00:00:00Z,datacite,Fudan University,NA,Cervical Cancer and HPV Research; Hepatitis B Virus Studies; Reproductive tract infections research,Epidemiology; Microbiology,Medicine; Immunology and Microbiology,Health Sciences; Life Sciences
https://doi.org/10.5061/dryad.j1617,https://doi.org/10.1111/oik.03105,2016-11-01T00:00:00Z,datacite,University of Michigan,NA,Aquatic Ecosystems and Phytoplankton Dynamics; Ecology and Vegetation Dynamics Studies; Marine and coastal ecosystems,Environmental Chemistry; Nature and Landscape Conservation; Oceanography,Environmental Science; Earth and Planetary Sciences,Physical Sciences
https://doi.org/10.5061/dryad.2kj8p,https://doi.org/10.1002/ece3.3635,2017-11-23T00:00:00Z,eupmc,University of Oxford,NA,Mycorrhizal Fungi and Plant Interactions; Plant and animal studies; Plant Parasitism and Resistance,"Plant Science; Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://doi.org/10.3886/icpsr04690.v9,https://doi.org/10.1177/09622802221089031,2022-04-07T00:00:00Z,datacite,University of Michigan,NA,Bayesian Methods and Mixture Models; Statistical Distribution Estimation and Applications; Statistical Methods and Bayesian Inference,Artificial Intelligence; Statistics and Probability,Computer Science; Mathematics,Physical Sciences
https://doi.org/10.7910/dvn/pi2ovc,https://doi.org/10.1017/s0007123421000296,2021-09-06T00:00:00Z,datacite,University of Michigan,NA,Electoral Systems and Political Participation; Legal and Constitutional Studies; American Constitutional Law and Politics,Political Science and International Relations; Economics and Econometrics,"Social Sciences; Economics, Econometrics and Finance",Social Sciences
https://doi.org/10.6084/m9.figshare.16643317.v1,https://doi.org/10.1080/0886022x.2021.1979039,2021-09-19T00:00:00Z,datacite,Fudan University,NA,Muscle and Compartmental Disorders; COVID-19 Clinical Research Studies; Dermatological and COVID-19 studies,Surgery; Infectious Diseases; Dermatology,Medicine,Health Sciences
GSE35487,https://doi.org/10.3389/fphys.2022.840890,2022-04-07T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Renal Diseases and Glomerulopathies; Systemic Lupus Erythematosus Research; Systemic Sclerosis and Related Diseases,Nephrology; Rheumatology; Pathology and Forensic Medicine,Medicine,Health Sciences
GSE20194,https://doi.org/10.1093/bioinformatics/btaa523,2020-08-01T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,Gene expression and cancer classification; Bioinformatics and Genomic Networks; Molecular Biology Techniques and Applications,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE49710,https://doi.org/10.1186/s13046-022-02563-3,2022-12-20T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,"Neuroblastoma Research and Treatments; Cancer, Hypoxia, and Metabolism; Virus-based gene therapy research",Neurology; Cancer Research; Genetics,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.11790999,https://doi.org/10.1080/15384101.2020.1716484,2020-02-02T00:00:00Z,datacite,Fudan University,NA,Heat shock proteins research; Endoplasmic Reticulum Stress and Disease; Estrogen and related hormone effects,Molecular Biology; Cell Biology; Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5281/zenodo.3775672,https://doi.org/10.1126/science.abb8001,2020-06-26T00:00:00Z,eupmc,Fudan University,NA,COVID-19 epidemiological studies; Viral Infections and Outbreaks Research; SARS-CoV-2 and COVID-19 Research,Modeling and Simulation; Infectious Diseases,Mathematics; Medicine,Physical Sciences; Health Sciences
https://doi.org/10.5281/zenodo.46478,https://doi.org/10.1016/j.chembiol.2014.11.010,2015-01-01T00:00:00Z,datacite,University of Oxford,NA,Plant biochemistry and biosynthesis; Microbial Natural Products and Biosynthesis; Metabolomics and Mass Spectrometry Studies,Molecular Biology; Pharmacology,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.5281/zenodo.4333200,https://doi.org/10.1093/mnras/stab1893,2021-09-01T00:00:00Z,datacite,University of Oxford,NA,"Stellar, planetary, and galactic studies; Astrophysics and Star Formation Studies; Adaptive optics and wavefront sensing","Astronomy and Astrophysics; Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://doi.org/10.5061/dryad.v8j20,https://doi.org/10.1371/journal.pone.0113222,2014-12-01T00:00:00Z,datacite,University of Oxford,NA,Advanced Electron Microscopy Techniques and Applications; Genomics and Phylogenetic Studies; Electron and X-Ray Spectroscopy Techniques,"Structural Biology; Molecular Biology; Surfaces, Coatings and Films","Biochemistry, Genetics and Molecular Biology; Materials Science",Life Sciences; Physical Sciences
GSE133288,https://doi.org/10.3389/fphar.2022.968256,2022-09-21T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Renal Diseases and Glomerulopathies; Systemic Sclerosis and Related Diseases; Global Health Care Issues,Nephrology; Pathology and Forensic Medicine; General Health Professions,Medicine; Health Professions,Health Sciences
https://doi.org/10.5061/dryad.tg0nq,https://doi.org/10.1111/2041-210x.12370,2015-05-06T00:00:00Z,datacite,University of Oxford,NA,Animal Vocal Communication and Behavior; Primate Behavior and Ecology; Animal Behavior and Reproduction,"Developmental Biology; Social Psychology; Ecology, Evolution, Behavior and Systematics","Biochemistry, Genetics and Molecular Biology; Psychology; Agricultural and Biological Sciences",Life Sciences; Social Sciences
https://doi.org/10.3886/icpsr13594,https://doi.org/10.1177/2153368714550879,2014-10-15T00:00:00Z,datacite,University of Michigan,NA,"Homelessness and Social Issues; Crime Patterns and Interventions; Urban, Neighborhood, and Segregation Studies",General Health Professions; Sociology and Political Science,Health Professions; Social Sciences,Health Sciences; Social Sciences
https://doi.org/10.3886/icpsr36346.v7,https://doi.org/10.1111/aphw.12459,2023-07-06T00:00:00Z,datacite,University of Michigan,NA,Psychological Well-being and Life Satisfaction; Mental Health Research Topics; Health disparities and outcomes,Social Psychology; Experimental and Cognitive Psychology; Health,Psychology; Social Sciences,Social Sciences
https://doi.org/10.6084/m9.figshare.19429062.v1,https://doi.org/10.1080/14767058.2022.2054320,2022-03-27T00:00:00Z,datacite,University of Oxford,NA,Congenital Diaphragmatic Hernia Studies; Intestinal Malrotation and Obstruction Disorders; Neonatal and Maternal Infections,"Surgery; Public Health, Environmental and Occupational Health",Medicine,Health Sciences
GSE79911,https://doi.org/10.1038/srep40817,2017-01-18T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Photoreceptor and optogenetics research; Vibrio bacteria research studies; Microbial Community Ecology and Physiology,Cellular and Molecular Neuroscience; Endocrinology; Ecology,"Neuroscience; Biochemistry, Genetics and Molecular Biology; Environmental Science",Life Sciences; Physical Sciences
https://doi.org/10.6084/m9.figshare.16641339,https://doi.org/10.1080/00206814.2021.1978111,2021-09-19T00:00:00Z,datacite,Fudan University,NA,Geological and Geochemical Analysis; High-pressure geophysics and materials; earthquake and tectonic studies,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://doi.org/10.6084/m9.figshare.15170949.v1,https://doi.org/10.1080/14767058.2021.1960974,2021-08-15T00:00:00Z,datacite,Fudan University,NA,Congenital Heart Disease Studies; Pregnancy and preeclampsia studies; Congenital Diaphragmatic Hernia Studies,Epidemiology; Obstetrics and Gynecology; Surgery,Medicine,Health Sciences
GSM652238,https://doi.org/10.1093/bioinformatics/btu028,2014-05-15T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Gene expression and cancer classification; MicroRNA in disease regulation; RNA modifications and cancer,Molecular Biology; Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE63569,https://doi.org/10.1038/s41467-020-20848-z,2021-01-22T00:00:00Z,czi,University of Oxford,biological sciences; basic medicine,RNA Research and Splicing; RNA modifications and cancer; Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE39221,https://doi.org/10.7150/thno.44427,2020-01-01T00:00:00Z,czi,University of Oxford,basic medicine; biological sciences,"Cancer, Hypoxia, and Metabolism; MRI in cancer diagnosis; Glioma Diagnosis and Treatment","Cancer Research; Radiology, Nuclear Medicine and Imaging; Genetics","Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
GSE84314,https://doi.org/10.1186/s13059-022-02686-y,2022-05-24T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Single-cell and spatial transcriptomics; Gene expression and cancer classification; Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.5m2q0,https://doi.org/10.1371/journal.pone.0119161,2015-03-03T00:00:00Z,datacite,University of Oxford,NA,"Culinary Culture and Tourism; Nutritional Studies and Diet; Obesity, Physical Activity, Diet","Food Science; Public Health, Environmental and Occupational Health",Agricultural and Biological Sciences; Medicine,Life Sciences; Health Sciences
https://doi.org/10.5281/zenodo.4118220,https://doi.org/10.1039/d0sc03287e,2020-01-01T00:00:00Z,datacite,University of Oxford,NA,Metal-Organic Frameworks: Synthesis and Applications; Crystal Structures and Properties; X-ray Diffraction in Crystallography,"Inorganic Chemistry; Electronic, Optical and Magnetic Materials; Materials Chemistry",Chemistry; Materials Science,Physical Sciences
https://doi.org/10.5061/dryad.98q55,https://doi.org/10.1093/ve/vey002,2018-01-01T00:00:00Z,eupmc,University of Oxford,NA,Viral gastroenteritis research and epidemiology; Viral Infections and Vectors; Viral Infections and Outbreaks Research,Infectious Diseases,Medicine,Health Sciences
https://doi.org/10.5061/dryad.f098g,https://doi.org/10.1002/ece3.1776,2015-10-26T00:00:00Z,eupmc,University of Michigan,NA,Weed Control and Herbicide Applications; Ecology and Vegetation Dynamics Studies; Plant and animal studies,"Plant Science; Nature and Landscape Conservation; Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences; Environmental Science,Life Sciences; Physical Sciences
https://doi.org/10.6084/m9.figshare.19498075.v1,https://doi.org/10.1186/s13048-022-00969-3,2022-03-31T00:00:00Z,datacite,Fudan University,NA,Ovarian cancer diagnosis and treatment; Ferroptosis and cancer prognosis; RNA modifications and cancer,Reproductive Medicine; Pulmonary and Respiratory Medicine; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.5061/dryad.2sn57,https://doi.org/10.1111/jse.12230,2017-03-01T00:00:00Z,datacite,Fudan University,NA,Plant Virus Research Studies; GABA and Rice Research; Genetic Mapping and Diversity in Plants and Animals,Plant Science; Genetics,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5281/zenodo.6373353,https://doi.org/10.1016/j.xgen.2023.100306,2023-04-01T00:00:00Z,datacite,University of Oxford,NA,Spondyloarthritis Studies and Treatments; Autoimmune and Inflammatory Disorders Research; Myeloproliferative Neoplasms: Diagnosis and Treatment,Rheumatology; Hematology; Genetics,Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.17134117.v1,https://doi.org/10.1080/22221751.2021.2004864,2021-12-06T00:00:00Z,datacite,University of Oxford,NA,Infectious Diseases and Tuberculosis; Autoimmune and Inflammatory Disorders Research; Tuberculosis Research and Epidemiology,Surgery; Hematology; Infectious Diseases,Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.17134117.v1,https://doi.org/10.1080/22221751.2021.2004864,2021-12-06T00:00:00Z,datacite,Fudan University,NA,Infectious Diseases and Tuberculosis; Autoimmune and Inflammatory Disorders Research; Tuberculosis Research and Epidemiology,Surgery; Hematology; Infectious Diseases,Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.17134117.v1,https://doi.org/10.1080/22221751.2021.2004864,2021-12-06T00:00:00Z,datacite,University of Michigan,NA,Infectious Diseases and Tuberculosis; Autoimmune and Inflammatory Disorders Research; Tuberculosis Research and Epidemiology,Surgery; Hematology; Infectious Diseases,Medicine,Health Sciences
GSE68127,https://doi.org/10.1172/jci.insight.150004,2021-10-08T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Renal Diseases and Glomerulopathies; Genetic Syndromes and Imprinting; Pancreatic function and diabetes,Nephrology; Genetics; Surgery,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
GSE24080,https://doi.org/10.18632/oncotarget.14957,2017-02-01T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Multiple Myeloma Research and Treatments; Cancer therapeutics and mechanisms; Cancer Mechanisms and Therapy,Hematology; Molecular Biology; Pathology and Forensic Medicine,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.5281/zenodo.7111592,https://doi.org/10.1073/pnas.2209955119,2022-12-02T00:00:00Z,eupmc,University of Oxford,NA,Electrochemical Analysis and Applications; Force Microscopy Techniques and Applications; Electrostatics and Colloid Interactions,"Electrochemistry; Atomic and Molecular Physics, and Optics; Physical and Theoretical Chemistry",Chemistry; Physics and Astronomy,Physical Sciences
https://doi.org/10.5061/dryad.6773h,https://doi.org/10.1186/s12862-014-0247-3,2014-12-04T00:00:00Z,datacite,Fudan University,NA,Evolution and Genetic Dynamics; Genetic diversity and population structure; Myxozoan Parasites in Aquatic Species,Genetics; Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE22220,https://doi.org/10.7150/jca.37247,2020-01-01T00:00:00Z,czi,University of Oxford,basic medicine; biological sciences,RNA Research and Splicing; RNA modifications and cancer; RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5287/bodleian:2zvyknyRg,https://doi.org/10.1038/s41597-024-03859-z,2024-09-19T00:00:00Z,eupmc,University of Oxford,NA,Advanced Battery Technologies Research; Advancements in Battery Materials; Advanced Battery Materials and Technologies,Automotive Engineering; Electrical and Electronic Engineering,Engineering,Physical Sciences
https://doi.org/10.3886/icpsr34598.v1,https://doi.org/10.1016/j.adolescence.2018.11.001,2018-11-22T00:00:00Z,datacite,University of Michigan,NA,"Crime Patterns and Interventions; Psychopathy, Forensic Psychiatry, Sexual Offending; Criminal Justice and Corrections Analysis",Sociology and Political Science; Clinical Psychology,Social Sciences; Psychology,Social Sciences
GSE20194,https://doi.org/10.3892/ol.2021.12671,2021-03-22T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Microtubule and mitosis dynamics; Cancer Genomics and Diagnostics; Genomics and Chromatin Dynamics,Cell Biology; Cancer Research; Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.3886/icpsr13731,https://doi.org/10.1177/2153368716658768,2016-08-29T00:00:00Z,datacite,University of Michigan,NA,Crime Patterns and Interventions; Racial and Ethnic Identity Research; Education Discipline and Inequality,Sociology and Political Science; Education,Social Sciences,Social Sciences
GSE49711,https://doi.org/10.1038/s43018-022-00355-4,2022-04-28T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,"Cancer, Hypoxia, and Metabolism; Epigenetics and DNA Methylation; RNA modifications and cancer",Cancer Research; Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
